scenario,layout,method,mean_gain,std_gain,mean_reward,std_reward,mean_power,std_power
Scenario 1,Turb2_Row1_Floris,GraphPFN,0.14759798844655356,0.2007809595337342,296.4367444117864,0.2007809595337383,306.3214242893191,0.19425151187581674
Scenario 1,Turb2_Row1_Floris,Random,-0.05063962936401367,0.32667568402811065,296.23850679397583,0.32667568402811065,306.07838562042195,0.3649189303539954
Scenario 1,Turb2_Row1_Floris,TabPFN-Fallback,0.6208528677622477,0.12221887364111092,296.9099992911021,0.12221887364111915,306.77262670165334,0.12831622660947029
Scenario 1,Turb32_Row5_Floris,Do-Nothing,0.0,0.0,313.8680603504181,0.0,5177.97715919699,0.0
Scenario 1,Turb32_Row5_Floris,GP,4.432706356048584,0.644660639223627,318.3007667064667,0.644660639223627,5251.698231591638,10.561964784696924
Scenario 1,Turb32_Row5_Floris,GraphPFN,1.6436925729115803,0.6233845971629178,315.51175292332965,0.6233845971629163,5205.7281208450195,10.365998638782205
Scenario 1,Turb32_Row5_Floris,Random,1.900577147801717,0.20006317753818312,315.7686374982198,0.20006317753817734,5209.922622584327,3.2054462694544905
Scenario 1,Turb32_Row5_Floris,TabPFN-Fallback,2.866316556930542,1.1929060259778739,316.73437690734863,1.1929060259778739,5225.832111835743,19.66814771108015
Scenario 1,Turb3_Row1_Floris,Do-Nothing,0.0,0.0,227.83139741420746,0.0,354.13161058755776,0.0
Scenario 1,Turb3_Row1_Floris,GP,4.863643169403076,0.11599687186309512,232.69504058361053,0.11599687186309512,361.9073970963614,0.16860311707333214
Scenario 1,Turb3_Row1_Floris,GraphPFN,4.0743759870529175,1.2770926776104112,231.90577340126038,1.2770926776104112,360.6876215406183,1.9441101193043138
Scenario 1,Turb3_Row1_Floris,Random,1.734455664952596,0.7724310656199473,229.56585307916006,0.7724310656199442,356.9426454560153,1.2758208290623745
Scenario 1,Turb3_Row1_Floris,TabPFN-Fallback,4.885052998860677,0.12800882937593522,232.71645041306815,0.12800882937593774,361.9166376672859,0.18460825540548031
Scenario 1,Turb4_Row1_Floris,Do-Nothing,0.0,0.0,198.49665296077728,0.0,412.1294777345716,0.0
Scenario 1,Turb4_Row1_Floris,GP,8.904824693997702,0.02184735434164201,207.401477654775,0.021847354341638165,430.8536332078481,0.045176874395482604
Scenario 1,Turb4_Row1_Floris,GraphPFN,5.703469475110372,2.937233262785404,204.20012243588766,2.9372332627854005,424.2137314521945,6.05905305199749
Scenario 1,Turb4_Row1_Floris,Random,1.696231444676717,0.5322692384565038,200.192884405454,0.5322692384565006,415.77607549189,1.1609033608391544
Scenario 1,Turb4_Row1_Floris,TabPFN-Fallback,8.882615208625793,0.015155378493732882,207.37926816940308,0.015155378493732882,430.8258245267306,0.0
Scenario 1,Turb5_Row1_Floris,Do-Nothing,0.0,0.0,183.24129915237427,0.0,476.16290761587425,0.0
Scenario 1,Turb5_Row1_Floris,GP,10.616913596789042,1.4609988279421815,193.8582127491633,1.460998827942181,504.0549108127553,3.8015756639352363
Scenario 1,Turb5_Row1_Floris,GraphPFN,4.877593596776326,3.020934292628489,188.1188927491506,3.020934292628485,489.10106332305287,7.81352600892076
Scenario 1,Turb5_Row1_Floris,Random,1.8463916778564453,0.2376895074894318,185.0876908302307,0.2376895074894318,481.12013574618936,0.49958829721148135
Scenario 1,Turb5_Row1_Floris,TabPFN-Fallback,10.329182942708334,1.7685486669348334,193.5704820950826,1.7685486669348303,503.2643873561301,4.630875863313849
Scenario 1,Turb6_Row1_Floris,Do-Nothing,0.0,0.0,173.37406837940216,0.0,541.1965654711261,0.0
Scenario 1,Turb6_Row1_Floris,GP,14.112579067548117,1.908007711378279,187.4866474469503,1.908007711378283,585.5907085171052,5.992470893643415
Scenario 1,Turb6_Row1_Floris,GraphPFN,7.323760469754537,7.145570066601512,180.6978288491567,7.145570066601508,564.3695204477909,22.28896947699328
Scenario 1,Turb6_Row1_Floris,Random,1.4711190064748128,0.18112045511942518,174.84518738587698,0.18112045511942843,545.9558222288587,0.4381175446832881
Scenario 1,Turb6_Row1_Floris,TabPFN-Fallback,15.227763414382935,0.011774118572569806,188.6018317937851,0.011774118572569806,589.0504632006613,0.0
Scenario 1,Turb6_Row2_Floris,Do-Nothing,0.0,0.0,227.86265885829926,0.0,708.361614900537,0.0
Scenario 1,Turb6_Row2_Floris,GP,4.611100435256958,0.9754523943194162,232.4737592935562,0.9754523943194162,723.1300879987203,3.003656365696577
Scenario 1,Turb6_Row2_Floris,GraphPFN,2.635733882586161,0.9104473802967733,230.4983927408854,0.9104473802967739,716.827261714721,2.768281469663391
Scenario 1,Turb6_Row2_Floris,Random,1.2855567932128906,0.44869746769345026,229.14821565151215,0.44869746769345026,712.5449789568135,1.4536861313492477
Scenario 1,Turb6_Row2_Floris,TabPFN-Fallback,5.1741944551467896,0.015577985482377751,233.03685331344604,0.015577985482377751,724.8642498100085,0.0
Scenario 1,Turb7_Row1_Floris,Do-Nothing,0.0,0.0,166.34695756435394,0.0,606.3648241490321,0.0
Scenario 1,Turb7_Row1_Floris,GP,16.505371967951458,3.806602218328016,182.8523295323054,3.806602218328011,666.7497971555298,13.950839393317212
Scenario 1,Turb7_Row1_Floris,GraphPFN,4.692341168721517,2.8012302830686058,171.03929873307547,2.801230283068602,623.7689641476796,10.108864563605998
Scenario 1,Turb7_Row1_Floris,Random,1.5776034990946453,0.27431051999470446,167.92456106344858,0.27431051999470807,612.3002121610501,1.1185176894618536
Scenario 1,Turb7_Row1_Floris,TabPFN-Fallback,14.313167929649353,4.183320123250473,180.6601254940033,4.183320123250473,658.8280699756236,15.239824708428504
Scenario 1,Turb8_Row1_Floris,Do-Nothing,0.0,0.0,161.12789499759674,0.0,671.7915695006956,0.0
Scenario 1,Turb8_Row1_Floris,GP,19.425082564353943,4.476813377831973,180.55297756195068,4.476813377831973,752.8780298921405,18.77033921595861
