scenario,layout,seed,method,reward,power,predicted_reward,test_wind_speed,test_wind_direction,train_wind_speed_min,train_wind_speed_max,train_wind_direction_min,train_wind_direction_max,n_turbines
Scenario 2,Ablaincourt_Floris,1,TabPFN-Fallback,355.92157316207886,1288.6833195571244,400.2727561295029,8.0,270.0,4.311367034912109,8.973167419433594,215.7742919921875,332.0008544921875,7
Scenario 2,Ablaincourt_Floris,1,GraphPFN,353.9562373161316,1281.270712678448,376.26275634765625,8.0,270.0,4.311367034912109,8.973167419433594,215.7742919921875,332.0008544921875,7
Scenario 1,Ablaincourt_Floris,2,Do-Nothing,351.1667287349701,1271.6129523458412,,8.0,270.0,8.0,8.0,270.0,270.0,7
Scenario 1,Ablaincourt_Floris,2,Random,346.37366819381714,1254.8780095094019,,8.0,270.0,8.0,8.0,270.0,270.0,7
Scenario 1,Ablaincourt_Floris,2,GP,365.10117769241333,1321.037133615555,366.4094529162551,8.0,270.0,8.0,8.0,270.0,270.0,7
Scenario 1,Ablaincourt_Floris,2,TabPFN-Fallback,365.0964367389679,1321.037133615555,358.05597148338944,8.0,270.0,8.0,8.0,270.0,270.0,7
Scenario 1,Ablaincourt_Floris,2,GraphPFN,346.67818665504456,1255.567771807777,349.9197998046875,8.0,270.0,8.0,8.0,270.0,270.0,7
Scenario 2,Ablaincourt_Floris,2,Do-Nothing,351.1667287349701,1271.6129523458412,,8.0,270.0,3.463167905807495,9.33950424194336,230.60751342773438,311.1340637207031,7
Scenario 2,Ablaincourt_Floris,2,Random,346.37366819381714,1254.8780095094019,,8.0,270.0,3.463167905807495,9.33950424194336,230.60751342773438,311.1340637207031,7
Scenario 2,Ablaincourt_Floris,2,GP,357.0248501300812,1292.5001996950111,429.7470553111673,8.0,270.0,3.463167905807495,9.33950424194336,230.60751342773438,311.1340637207031,7
Scenario 2,Ablaincourt_Floris,2,TabPFN-Fallback,359.06029748916626,1299.1785606249616,385.86492465933173,8.0,270.0,3.463167905807495,9.33950424194336,230.60751342773438,311.1340637207031,7
Scenario 2,Ablaincourt_Floris,2,GraphPFN,346.67818665504456,1255.567771807777,335.2420349121094,8.0,270.0,3.463167905807495,9.33950424194336,230.60751342773438,311.1340637207031,7
Scenario 1,HornsRev1_Floris,0,Do-Nothing,170.85654520988464,7114.483221048758,,8.0,270.0,8.0,8.0,270.0,270.0,80
Scenario 1,HornsRev1_Floris,0,Random,175.48787665367126,7309.281974703527,,8.0,270.0,8.0,8.0,270.0,270.0,80
